date,maxt,mint,rain,year,month,source_file
1982-12-01,6.959999999999999,1.3800000000000001,93.82000000000001,1982.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-01-01,8.68,3.3600000000000003,94.26,1983.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-02-01,4.720000000000001,-0.54,41.86,1983.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-03-01,9.4,3.54,76.82000000000001,1983.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-04-01,9.92,2.46,82.17999999999999,1983.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-05-01,13.040000000000001,6.32,90.42,1983.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-06-01,17.1,9.440000000000001,28.380000000000003,1983.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-07-01,22.94,13.1,29.6,1983.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-08-01,20.96,12.2,36.64,1983.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-09-01,16.02,9.7,91.26,1983.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-10-01,13.12,6.779999999999999,93.56,1983.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-11-01,9.9,4.76,40.22,1983.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1983-12-01,8.52,3.28,119.51999999999998,1983.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-01-01,5.58,0.2,121.42,1984.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-02-01,6.56,1.3199999999999998,60.08,1984.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-03-01,7.539999999999999,2.16,60.260000000000005,1984.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-04-01,12.74,3.5,21.619999999999997,1984.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-05-01,14.219999999999999,5.16,39.760000000000005,1984.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-06-01,18.080000000000002,9.9,39.879999999999995,1984.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-07-01,20.96,11.3,34.64,1984.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-08-01,21.1,11.92,57.96,1984.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-09-01,15.939999999999998,9.6,100.5,1984.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-10-01,13.680000000000001,7.040000000000001,84.74,1984.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-11-01,9.74,4.88,118.25999999999999,1984.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1984-12-01,7.88,2.42,61.0,1984.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-01-01,3.9,-1.1400000000000001,65.24,1985.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-02-01,6.04,0.020000000000000018,22.140000000000004,1985.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-03-01,8.040000000000001,1.34,59.94,1985.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-04-01,11.6,4.58,67.8,1985.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-05-01,13.940000000000001,6.279999999999999,64.9,1985.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-06-01,16.2,7.859999999999999,70.14,1985.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-07-01,19.080000000000002,11.5,66.42,1985.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-08-01,17.380000000000003,10.72,105.4,1985.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-09-01,17.34,10.040000000000001,54.779999999999994,1985.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-10-01,13.919999999999998,7.82,45.5,1985.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-11-01,7.08,0.9,73.5,1985.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1985-12-01,8.26,3.4,101.75999999999999,1985.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-01-01,5.92,0.54,109.38,1986.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-02-01,2.46,-2.52,20.5,1986.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-03-01,8.54,1.8399999999999999,77.66,1986.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-04-01,9.120000000000001,2.12,91.92,1986.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-05-01,14.34,7.0200000000000005,94.9,1986.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-06-01,18.32,9.360000000000001,38.36,1986.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-07-01,18.78,11.32,39.3,1986.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-08-01,16.34,9.219999999999999,118.3,1986.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-09-01,15.680000000000001,7.2,27.060000000000002,1986.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-10-01,13.719999999999999,7.0,83.17999999999999,1986.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-11-01,10.48,4.36,101.42,1986.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1986-12-01,8.16,2.84,113.44000000000001,1986.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-01-01,4.14,-0.48,37.5,1987.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-02-01,7.0200000000000005,0.64,41.02,1987.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-03-01,7.6,1.04,89.72,1987.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-04-01,13.459999999999999,5.5200000000000005,52.17999999999999,1987.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-05-01,13.88,5.680000000000001,43.18,1987.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-06-01,15.5,8.5,93.28,1987.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-07-01,19.04,11.6,52.480000000000004,1987.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-08-01,18.580000000000002,11.36,61.620000000000005,1987.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-09-01,16.619999999999997,9.08,72.0,1987.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-10-01,12.24,5.5200000000000005,123.34,1987.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-11-01,8.959999999999999,4.0600000000000005,61.56,1987.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1987-12-01,8.1,3.22,51.7,1987.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1988-01-01,7.18,2.12,124.94000000000001,1988.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1988-02-01,7.539999999999999,1.92,69.17999999999999,1988.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1988-03-01,9.22,2.7600000000000002,93.17999999999999,1988.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1988-04-01,11.58,4.459999999999999,41.36,1988.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1988-05-01,15.36,6.720000000000001,46.980000000000004,1988.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1988-06-01,18.0,9.92,39.1,1988.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1988-07-01,17.54,10.879999999999999,114.85999999999999,1988.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1988-08-01,18.46,10.9,71.62,1988.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1988-09-01,16.18,9.42,68.4,1988.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
