date,maxt,mint,rain,year,month,stations_used
01/10/1900,12.52,5.26,114.25999999999999,1900,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/11/1900,9.18,4.14,93.66,1900,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/12/1900,9.36,4.26,129.1,1900,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/01/1901,5.96,1.08,55.36,1901,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/02/1901,5.279999999999999,0.1,41.7,1901,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/03/1901,7.159999999999999,0.8800000000000001,55.239999999999995,1901,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/04/1901,12.42,3.44,54.760000000000005,1901,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/05/1901,15.940000000000001,5.66,36.06,1901,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/06/1901,17.46,8.5,44.7,1901,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/07/1901,21.52,12.3,67.38,1901,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/08/1901,19.380000000000003,10.78,72.4,1901,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/09/1901,17.16,9.52,53.7,1901,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/10/1901,12.78,5.16,75.9,1901,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/11/1901,8.66,2.62,90.6,1901,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/12/1901,5.82,0.78,106.38,1901,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/01/1902,7.08,1.8,51.06,1902,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/02/1902,4.5,-0.88,52.94,1902,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/03/1902,9.959999999999999,3.02,51.67999999999999,1902,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/04/1902,11.58,2.9,53.540000000000006,1902,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/05/1902,12.059999999999999,4.4799999999999995,76.4,1902,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/06/1902,16.580000000000002,8.580000000000002,47.8,1902,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/07/1902,17.78,9.64,64.08,1902,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/08/1902,17.259999999999998,9.4,67.17999999999999,1902,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/09/1902,16.42,8.68,49.36,1902,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/10/1902,12.459999999999999,6.0600000000000005,75.62,1902,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/11/1902,9.68,4.4799999999999995,63.7,1902,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/12/1902,7.24,2.48,75.38,1902,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/01/1903,6.34,1.3,95.7,1903,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/02/1903,9.6,3.6799999999999997,73.78,1903,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/03/1903,9.68,2.82,102.9,1903,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/04/1903,9.98,2.32,54.160000000000004,1903,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/05/1903,13.88,5.82,80.34,1903,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/06/1903,16.32,7.8,61.120000000000005,1903,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/07/1903,18.34,10.32,92.35999999999999,1903,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/08/1903,17.259999999999998,9.58,111.22,1903,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/09/1903,16.3,8.7,71.97999999999999,1903,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
