YEAR,MONTH,us_tavg_f,us_tmax_f,us_tmin_f,n_stations
1965,11,44.85226599614002,55.810092948157596,33.894439044122436,479
1965,12,36.82194333898468,46.57613333759161,27.067753340377763,479
1966,1,24.4073147479028,34.30469731048286,14.509932185322743,483
1966,2,30.852692229145426,41.20403730674823,20.501347151542614,485
1966,3,43.280924095040305,55.4334183178118,31.128429872268807,486
1966,4,50.12480619542465,61.85452226313018,38.395090127719115,486
1966,5,60.08056242499418,73.33918419066798,46.821940659320376,482
1966,6,69.63269669778357,82.60413906788048,56.661254327686635,488
1966,7,76.48603751336807,89.34897628831546,63.623098738420715,484
1966,8,71.38274248562105,83.81460042142726,58.950884549814845,486
1966,9,64.56061189000843,77.00490365963884,52.11632012037802,488
1966,10,53.515903665851646,67.06951896383293,39.96228836787036,486
1966,11,43.364189581026864,54.44435575982259,32.28402340223114,485
1966,12,31.925079630586048,41.41676970056862,22.433389560603473,481
1967,1,32.20213230616512,42.64830485804003,21.75595975429021,482
1967,2,29.982206669113527,41.70622464771361,18.258188690513443,481
1967,3,43.36172686878844,55.30802708608945,31.41542665148743,482
1967,4,53.11246232171695,65.06683922566462,41.15808541776927,484
1967,5,58.09393257699345,70.49378441656418,45.69408073742271,488
1967,6,69.42895260862375,81.05028269778332,57.80762251946418,485
1967,7,72.46130612217111,84.69979776865252,60.22281447568973,486
1967,8,70.93308880774703,83.84624566258175,58.0199319529123,486
1967,9,63.917498781038844,76.95895590071737,50.876041661360325,485
1967,10,54.20625437605927,66.78247889395298,41.630029858165564,484
1967,11,40.73809525747691,51.27196773518996,30.20422277976385,479
1967,12,33.24486311004266,42.710280906966254,23.77944531311905,474
1968,1,27.487909496539938,37.63219576213356,17.343623230946317,479
1968,2,29.93034356965944,40.87584303685415,18.98484410246473,483
1968,3,44.32780796469734,57.26130649676024,31.394309432634444,479
1968,4,52.75319494962518,65.54575008183974,39.960639817410616,482
1968,5,58.9602198032468,71.05596709301989,46.86447251347372,482
1968,6,70.23019660106169,82.52172842431247,57.93866477781092,479
1968,7,73.83855610190776,86.17900978920582,61.498102414609704,480
1968,8,72.69108699732611,84.74634324064483,60.63583075400737,483
1968,9,65.07195571779964,77.90525579517472,52.23865564042454,477
1968,10,55.522257425475445,67.91553575274598,43.12897909820491,481
1968,11,41.72806409736614,51.148436774851845,32.307691419880435,486
1968,12,29.5331225262837,39.02858385386309,20.037661198704313,486
1969,1,26.60785978590925,35.85861793309102,17.35710163872747,482
1969,2,31.86322293276722,40.90548289822235,22.820962967312084,485
1969,3,35.2911090591109,46.5233658925359,24.05885222568591,486
1969,4,53.539862293387515,66.0019410912393,41.07778349553573,486
1969,5,62.379331885172114,75.1362622760337,49.622401494310516,487
1969,6,67.8207026414191,79.7577618246183,55.88364345821989,487
1969,7,75.00778016097144,86.84100549368138,63.17455482826147,487
1969,8,73.50431589367976,86.56075021198274,60.4478815753768,485
1969,9,65.97131244552538,78.27991350398135,53.662711387069415,490
1969,10,52.341204347782394,63.555793231883506,41.12661546368128,489
1969,11,41.74569926719049,52.997415312326126,30.49398322205485,484
1969,12,31.562679459104867,40.570274226157295,22.55508469205245,483
1970,1,23.731021922986283,33.85456311629132,13.607480729681242,483
1970,2,32.82080953421523,44.778312996383896,20.863306072046562,489
1970,3,38.07674459415321,48.560497294507016,27.592991893799407,487
1970,4,51.861001620984375,63.96155827228973,39.76044496967903,489
1970,5,63.167782132680834,76.03450920864954,50.30105505671214,488
1970,6,70.17965902173829,82.42783768924015,57.93148035423643,490
1970,7,74.76184525477483,87.62328553380745,61.9004049757422,486
1970,8,74.04342379988611,86.89510490898688,61.19174269078532,482
1970,9,66.49454007140857,78.90175352391832,54.08732661889882,483
1970,10,54.089735803641716,65.44530180870147,42.734169798581966,479
1970,11,41.63952608169162,51.46964944866384,31.809402714719408,489
1970,12,33.051760723815775,43.30265679263281,22.800864654998744,488
1971,1,26.37350132346132,36.53743597706914,16.2095666698535,487
1971,2,31.29687828719006,41.6469240167916,20.94683255758853,488
1971,3,38.65745830107418,49.709878052688225,27.605038549460126,485
1971,4,51.528691942954545,64.98012244589158,38.0772614400175,485
1971,5,59.29467176916133,72.08814097603694,46.50120256228573,488
1971,6,72.18884633413747,84.59850941569192,59.779183252582996,486
1971,7,72.56053762210047,85.01066274630817,60.11041249789278,482
1971,8,72.47723715285119,85.43417789968652,59.52029640601587,484
1971,9,66.54255119767068,78.64584566553248,54.43925672980888,485
1971,10,58.22779240320799,69.85278832812256,46.60279647829342,489
1971,11,42.373292512336064,52.71563086731631,32.030954157355815,486
1971,12,35.22163009081623,44.2250719578801,26.218188223752364,482
1972,1,28.296350467733,39.041153402232396,17.551547533233602,483
1972,2,30.864736462577188,42.15568122508605,19.573791700068334,483
1972,3,42.027672104644374,53.98428735771665,30.07105685157211,482
1972,4,51.04651011989578,63.25902916785409,38.83399107193746,484
1972,5,62.12557560888128,74.49714211323068,49.75400910453186,486
1972,6,68.89095102559405,81.47957432249046,56.302327728697634,484
1972,7,72.93857831683238,84.94676832090867,60.930388312756065,483
1972,8,72.66830643669962,84.8032716157086,60.53334125769064,484
1972,9,65.95337171382042,77.85157225801883,54.055171169622,487
1972,10,52.44977579643358,63.68659392423604,41.21295766863113,483
1972,11,39.765071450623566,47.6673850889445,31.86275781230264,484
1972,12,29.455403260414556,38.36352375995176,20.54728276087735,481
1973,1,29.557814248995218,39.11544685998361,20.00018163800683,481
1973,2,32.54487117178354,42.7323498734942,22.357392470072885,485
1973,3,46.22552369757921,55.899581475735594,36.551465919422824,485
1973,4,50.34154817401762,61.37048330679752,39.31261304123772,476
1973,5,59.70946625031677,72.01061019536789,47.40832230526565,485
1973,6,70.98148680833481,83.18764670961222,58.775326907057384,479
1973,7,74.48749408156573,86.57911572847371,62.39587243465775,482
1973,8,74.00028037298007,86.3733414753014,61.62721927065873,483
1973,9,65.80516833084643,77.10054280640902,54.50979385528384,482
1973,10,57.80580498969131,70.16257342837335,45.449036551009286,483
1973,11,43.779828989822036,53.59052664393078,33.969131335713286,475
1973,12,31.81270110776834,41.068166775737424,22.557235439799264,476
1974,1,29.956896347164143,39.297726625365065,20.616066068963224,484
1974,2,33.36474836433386,44.680640930182115,22.04885579848562,489
1974,3,43.99129294937171,55.22284383426056,32.759742064482865,488
1974,4,53.09781367252493,65.69048152653596,40.505145818513896,487
1974,5,61.073912704325664,72.77543879447808,49.372386614173266,485
1974,6,68.37796671444497,80.98304953541022,55.77288389347974,483
1974,7,75.67368719486811,88.78212546965052,62.56524892008571,486
1974,8,71.26510675126558,83.40947679616413,59.120736706367026,483
1974,9,62.39158484029033,75.25836370724365,49.524805973337,484
1974,10,54.21941051841111,67.6480862686936,40.79073476812861,480
1974,11,42.8743062667925,53.20324832000481,32.54536421358019,479
1974,12,33.48916494379201,42.60626639345485,24.372063494129172,478
1975,1,31.47030484419759,41.659786621487314,21.28082306690786,481
1975,2,31.363022080829776,41.03727395688165,21.6887702047779,481
1975,3,37.50771239468043,48.06659905574972,26.94882573361114,483
1975,4,48.05673079880782,59.21798466664104,36.895476930974596,483
1975,5,63.28535600734299,75.63298004888584,50.93773196580015,487
1975,6,69.45806412453113,81.06371153042004,57.852416718642246,483
1975,7,74.66397960751455,87.08672637545949,62.24123283956958,487
1975,8,73.48072270513607,85.67747276016131,61.28397265011084,481
1975,9,62.96803762166535,75.27556491686128,50.66051032646942,483
1975,10,56.111593858030254,69.36930407941229,42.853883636648234,480
1975,11,44.370709125669485,55.50633979356362,33.23507845777535,482
1975,12,33.325489984062735,42.911551646326416,23.739428321799057,474
1976,1,27.618481856428346,38.80346230937468,16.43350140348202,483
1976,2,38.98786292162658,51.019856963851936,26.95586887940122,483
1976,3,43.3085528122487,55.06733292098739,31.549772703509998,483
1976,4,53.65845524923065,66.59683080411149,40.7200796943498,478
1976,5,59.54101904433838,72.46917710466465,46.612860984012116,484
1976,6,69.7398896906956,82.49874628565179,56.98103309573943,485
1976,7,74.1040876577636,86.91418378036606,61.29399153516117,482
1976,8,71.90951703290895,85.20999392952078,58.60904013629712,484
1976,9,64.80986281505673,78.30747446504911,51.312251165064346,485
1976,10,50.0057416538688,62.541438160665116,37.47004514707249,483
1976,11,37.11326650866089,48.93851645187348,25.28801656544831,483
1976,12,28.565120207411944,40.57585798591241,16.554382428911477,481
